Donné image triangle

Auteur: 	 code_complet_seul_axe.py
Date: 		 2022-06-03 12:02:52.764537
Enregitrement d'image: 	 oui

LEGENDE: 
V: 	 image trêtée avec sucsess
I: 	 image trêtée avec sucsess mais il y a eu des point parasite détecter donc il y a possibilité d'impresision
W: 	 il y a surment eu des problème de traitement

F: 	 Erreur sur le traitement d'image

V	Id = 0		frame0000.jpg : 	[[950, 329], [788, 401], [801, 222], [506, 577], [585, 728], [679, 594], [667, 779], [761, 646], [835, 794], [663, 867], [736, 1007], [830, 883]]
V	Id = 0		frame0001.jpg : 	[[952, 327], [789, 399], [803, 219], [508, 575], [587, 726], [680, 592], [669, 776], [763, 644], [837, 792], [666, 864], [739, 1005], [833, 880]]
V	Id = 0		frame0002.jpg : 	[[954, 324], [791, 396], [805, 216], [511, 573], [589, 723], [683, 589], [671, 774], [765, 641], [839, 789], [668, 862], [741, 1002], [835, 877]]
V	Id = 0		frame0003.jpg : 	[[956, 322], [793, 394], [807, 214], [513, 571], [591, 721], [684, 587], [673, 771], [767, 639], [841, 787], [670, 860], [743, 999], [837, 875]]
V	Id = 0		frame0004.jpg : 	[[957, 319], [795, 391], [808, 211], [514, 569], [593, 719], [686, 585], [675, 769], [769, 636], [843, 784], [672, 857], [745, 997], [839, 872]]
V	Id = 0		frame0005.jpg : 	[[958, 318], [796, 390], [808, 209], [515, 568], [594, 718], [687, 584], [677, 768], [770, 635], [844, 782], [673, 856], [747, 995], [841, 871]]
V	Id = 0		frame0006.jpg : 	[[959, 316], [796, 389], [809, 207], [517, 566], [596, 716], [688, 582], [678, 766], [771, 633], [846, 781], [675, 855], [748, 993], [842, 869]]
V	Id = 0		frame0007.jpg : 	[[960, 314], [798, 387], [810, 207], [518, 565], [597, 714], [690, 581], [680, 765], [773, 632], [847, 780], [676, 853], [750, 992], [843, 868]]
V	Id = 0		frame0008.jpg : 	[[960, 312], [797, 386], [810, 205], [518, 564], [597, 713], [690, 579], [680, 763], [773, 631], [847, 778], [677, 852], [751, 991], [844, 866]]
V	Id = 0		frame0009.jpg : 	[[960, 311], [798, 384], [810, 204], [519, 563], [598, 712], [691, 578], [681, 762], [774, 629], [848, 777], [678, 851], [752, 989], [845, 865]]
V	Id = 0		frame0010.jpg : 	[[961, 309], [798, 383], [810, 203], [519, 562], [599, 711], [692, 577], [682, 762], [774, 628], [849, 776], [679, 850], [753, 989], [846, 864]]
