Name_of_image,statua,x1,y1,x2,y2,x3,y3,x4,y4,vxx1,vxy1,vxx2,vxy2,vxx3,vxy3,vxx4,vxy4,vyx1,vyy1,vyx2,vyy2,vyx3,vyy3,vyx4,vyy4
color_0000.png,V,545,126,544,215,655,214,768,206,32,-1,33,-1,33,-1,33,-1,-1,-25,-1,-27,-2,-27,-4,-27
color_0001.png,V,546,126,545,215,656,214,769,207,32,-1,33,-1,33,-1,33,-1,-1,-25,-1,-27,-2,-27,-4,-27
color_0002.png,V,547,126,545,216,657,215,769,207,32,-1,33,-1,33,-1,33,-1,-1,-25,-1,-27,-2,-27,-4,-27
color_0003.png,V,548,127,546,216,657,215,770,208,32,-1,33,-1,33,-1,33,-1,-1,-25,0,-27,-2,-27,-4,-27
color_0004.png,V,548,127,547,216,658,215,771,208,32,-1,33,-1,33,-1,33,-1,-1,-25,0,-27,-2,-27,-4,-27
color_0005.png,V,549,127,547,216,658,216,771,209,32,-1,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-27
color_0006.png,V,550,127,548,216,659,216,772,209,32,-1,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-27
color_0007.png,V,551,127,549,216,660,216,773,210,32,-1,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-27
color_0008.png,V,551,128,549,217,660,217,773,210,32,-1,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-27
color_0009.png,V,552,128,550,217,661,217,774,211,32,-1,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-27
color_0010.png,V,553,128,550,217,661,217,774,211,32,-1,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-27
color_0011.png,V,553,128,551,217,662,217,775,212,32,0,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-27
color_0012.png,V,554,128,551,217,662,218,775,212,32,0,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-27
color_0013.png,V,555,129,552,217,663,218,776,212,32,0,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-4,-26
color_0014.png,V,555,129,552,217,663,218,776,213,32,0,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0015.png,V,556,129,553,218,664,218,777,213,32,0,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0016.png,V,556,129,553,218,664,219,777,213,32,0,33,-1,33,-1,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0017.png,V,557,129,554,218,665,219,778,214,32,0,33,-1,33,0,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0018.png,V,557,129,554,218,665,219,778,214,31,0,33,-1,33,0,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0019.png,V,558,129,555,218,665,219,778,214,31,0,33,0,33,0,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0020.png,V,558,130,555,218,666,219,779,215,31,0,33,0,33,0,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0021.png,V,559,130,555,218,666,219,779,215,31,0,33,0,33,0,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0022.png,V,559,130,556,218,667,220,779,215,31,0,33,0,33,0,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0023.png,V,560,130,556,218,667,220,780,216,31,0,33,0,33,0,33,-1,0,-24,0,-27,-2,-27,-3,-26
color_0024.png,V,560,130,556,219,667,220,780,216,31,0,33,0,33,0,33,-1,0,-24,0,-27,-1,-27,-3,-26
color_0025.png,V,560,130,557,219,667,220,780,216,31,0,33,0,33,0,33,-1,0,-24,0,-27,-1,-27,-3,-26
color_0026.png,V,560,130,557,219,667,220,780,216,31,0,33,0,33,0,33,-1,0,-24,0,-27,-1,-27,-3,-27
color_0027.png,V,560,130,557,219,667,220,780,216,31,0,33,0,33,0,33,-1,0,-24,0,-27,-1,-27,-3,-27
color_0028.png,V,560,130,556,218,667,220,780,216,32,0,33,0,33,0,33,-1,0,-24,0,-27,-1,-27,-3,-27
